target_market,effective_tickets_per_pool,n_races,median_reference_tv,p05_reference_tv,p95_reference_tv,observed_main_median_tv,observed_to_reference_ratio
exacta,1000,3338,0.12423955232434226,0.08821787390007098,0.15585086836044554,0.055482122149,0.44657374492268986
exacta,10000,3338,0.039287996082458795,0.02789694118617456,0.04928437193340797,0.055482122149,1.4121901771867544
exacta,100000,3338,0.012423955232434227,0.008821787390007095,0.015585086836044553,0.055482122149,4.465737449226898
exacta,1000000,3338,0.003928799608245879,0.0027896941186174554,0.004928437193340797,0.055482122149,14.121901771867545
quinella,1000,3338,0.08847465123086412,0.06373697474649537,0.11039268580051335,0.0636012683759,0.7188643017076158
quinella,10000,3338,0.02797814130785505,0.020155401136755843,0.03490923241529505,0.0636012683759,2.2732485219825347
quinella,100000,3338,0.008847465123086413,0.006373697474649537,0.011039268580051338,0.0636012683759,7.188643017076158
quinella,1000000,3338,0.002797814130785505,0.002015540113675584,0.0034909232415295047,0.0636012683759,22.73248521982535
trio,1000,3338,0.1330045761034972,0.08268367554810117,0.17677324004130365,0.0443792534678,0.3336671170867564
trio,10000,3338,0.04205973997122544,0.026146874004637083,0.05590060678981969,0.0443792534678,1.0551480702962364
trio,100000,3338,0.013300457610349724,0.008268367554810118,0.017677324004130364,0.0443792534678,3.3366711708675627
trio,1000000,3338,0.004205973997122544,0.0026146874004637087,0.00559006067898197,0.0443792534678,10.551480702962362
